"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Tom Riddle","Slughorn","Intuition.","intuition.","intuition.","intuition.","intuition","intuition","intuition","intuit","intuition"
"Slughorn","Tom Riddle","Good gracious, look at the time. Off you go, boys, or Professor Dippett will have us all in detention. Lestrange, Avery, don?t forget your essays...","good gracious, look at the time. off you go, boys, or professor dippett will have us all in detention. lestrange, avery, don?t forget your essays...","good gracious, look at the time. off you go, boys, or professor dippett will have us all in detention. lestrange, avery, don?t forget your essays...","good gracious, look   time.   go, boys,  professor dippett will  us   detention. lestrange, avery, don?t forget  essays...","good gracious look   time   go boys  professor dippett will  us   detention lestrange avery dont forget  essays","good gracious look   time   go boys  professor dippett will  us   detention lestrange avery dont forget  essays","good gracious look time go boys professor dippett will us detention lestrange avery dont forget essays","good graciou look time go boi professor dippett will u detent lestrang averi dont forget essai","good gracious look time go boy professor dippett will us detention lestrange avery do forget essay"
"Slughorn","Tom Riddle","Look sharp, Tom. You don?t want to be caught out of bed after hours...","look sharp, tom. you don?t want to be caught out of bed after hours...","look sharp, tom. you don?t want to be caught out of bed after hours...","look sharp, tom.  don?t want   caught   bed  hours...","look sharp tom  dont want   caught   bed  hours","look sharp tom  dont want   caught   bed  hours","look sharp tom dont want caught bed hours","look sharp tom dont want caught bed hour","look sharp tom do want catch bed hour"
"Tom Riddle","Slughorn","I know a secret shortcut or two.","i know a secret shortcut or two.","i know a secret shortcut or two."," know  secret shortcut  two."," know  secret shortcut  two"," know  secret shortcut  two"," know secret shortcut two","know secret shortcut two","know secret shortcut two"
"Slughorn","Tom Riddle","Yes, I imagine you do. Something on your mind, Tom?","yes, i imagine you do. something on your mind, tom?","yes, i imagine you do. something on your mind, tom?","yes,  imagine  . something   mind, tom?","yes  imagine   something   mind tom","yes  imagine   something   mind tom","yes imagine something mind tom","ye imagin someth mind tom","yes imagine something mind tom"
"Tom Riddle","Slughorn","Yes, sir. I couldn?t think of anyone else to go to. The other professors, well, they?re not like you. They might... misunderstand.","yes, sir. i couldn?t think of anyone else to go to. the other professors, well, they?re not like you. they might... misunderstand.","yes, sir. i couldn?t think of anyone else to go to. the other professors, well, they?re not like you. they might... misunderstand.","yes, sir.  couldn?t think  anyone else  go .   professors, well, ?re  like .  might... misunderstand.","yes sir  couldnt think  anyone else  go    professors well re  like   might misunderstand","yes sir  couldnt think  anyone else  go    professors well re  like   might misunderstand","yes sir couldnt think anyone else go professors well re like might misunderstand","ye sir couldnt think anyon els go professor well re like might misunderstand","yes sir couldnt think anyone else go professor good re like may misunderstand"
"Slughorn","Tom Riddle","Go on.","go on.","go on.","go .","go ","go ","go ","go","go"
"Tom Riddle","Slughorn","I was in the library the other night, in the Restricted section, and I read something rather odd, about a bit of rare magic, and I thought perhaps you could illuminate me...","i was in the library the other night, in the restricted section, and i read something rather odd, about a bit of rare magic, and i thought perhaps you could illuminate me...","i was in the library the other night, in the restricted section, and i read something rather odd, about a bit of rare magic, and i thought perhaps you could illuminate me...","    library   night,   restricted section,   read something rather odd,   bit  rare magic,   thought perhaps   illuminate ...","    library   night   restricted section   read something rather odd   bit  rare magic   thought perhaps   illuminate ","    library   night   restricted section   read something rather odd   bit  rare magic   thought perhaps   illuminate "," library night restricted section read something rather odd bit rare magic thought perhaps illuminate ","librari night restrict section read someth rather odd bit rare magic thought perhap illumin","library night restrict section read something rather odd bite rare magic think perhaps illuminate"
"Slughorn","Tom Riddle","I don?t know anything about such things and I wouldn?t tell you if I did! Now get out of here at once and don?t ever let me catch you mentioning it again!","i don?t know anything about such things and i wouldn?t tell you if i did! now get out of here at once and don?t ever let me catch you mentioning it again!","i don?t know anything about such things and i wouldn?t tell you if i did! now get out of here at once and don?t ever let me catch you mentioning it again!"," don?t know anything   things   wouldn?t tell    ! now get       don?t ever let  catch  mentioning  !"," dont know anything   things   wouldnt tell     now get       dont ever let  catch  mentioning  "," dont know anything   things   wouldnt tell     now get       dont ever let  catch  mentioning  "," dont know anything things wouldnt tell now get dont ever let catch mentioning ","dont know anyth thing wouldnt tell now get dont ever let catch mention","do know anything thing wouldnt tell now get do ever let catch mention"
"Dumbledore","Harry","Confused? I would be surprised if you weren?t.","confused? i would be surprised if you weren?t.","confused? i would be surprised if you weren?t.","confused?    surprised   weren?t.","confused    surprised   werent","confused    surprised   werent","confused surprised werent","confus surpris werent","confuse surprise werent"
"Harry","Dumbledore","I don?t understand -- what happened?","i don?t understand -- what happened?","i don?t understand -- what happened?"," don?t understand --  happened?"," dont understand   happened"," dont understand   happened"," dont understand happened","dont understand happen","do understand happen"
"Dumbledore","Harry","This is perhaps the most important memory I?ve collected. It?s also a lie. (off Harry?s look) This memory has been tampered with. In this case by the person whose memory it is, our friend Professor Slughorn.","this is perhaps the most important memory i?ve collected. it?s also a lie. (off harry?s look) this memory has been tampered with. in this case by the person whose memory it is, our friend professor slughorn.","this is perhaps the most important memory i?ve collected. it?s also a lie. (off harry?s look) this memory has been tampered with. in this case by the person whose memory it is, our friend professor slughorn.","  perhaps   important memory ?ve collected. ?s also  lie. ( harry?s look)  memory   tampered .   case   person whose memory  ,  friend professor slughorn.","  perhaps   important memory ve collected s also  lie  harrys look  memory   tampered    case   person whose memory    friend professor slughorn","  perhaps   important memory ve collected s also  lie  harrys look  memory   tampered    case   person whose memory    friend professor slughorn"," perhaps important memory ve collected s also lie harrys look memory tampered case person whose memory friend professor slughorn","perhap import memori ve collect  also lie harri look memori tamper case person whose memori friend professor slughorn","perhaps important memory have collect s also lie harrys look memory tamper case person whose memory friend professor slughorn"
"Harry","Dumbledore","But why would he tamper with his own memory?","but why would he tamper with his own memory?","but why would he tamper with his own memory?","    tamper    memory?","    tamper    memory","    tamper    memory"," tamper memory","tamper memori","tamper memory"
"Dumbledore","Harry","I suspect he is ashamed of it.","i suspect he is ashamed of it.","i suspect he is ashamed of it."," suspect   ashamed  ."," suspect   ashamed  "," suspect   ashamed  "," suspect ashamed ","suspect asham","suspect ashamed"
"Harry","Dumbledore","Why?","why?","why?","?","","","","",""
"Dumbledore","Harry","Why indeed.","why indeed.","why indeed."," indeed."," indeed"," indeed"," indeed","inde","indeed"
"Dumbledore","Harry","I asked you to get to know Professor Slughorn and you?ve done so.","i asked you to get to know professor slughorn and you?ve done so.","i asked you to get to know professor slughorn and you?ve done so."," asked   get  know professor slughorn  ?ve done ."," asked   get  know professor slughorn  ve done "," asked   get  know professor slughorn  ve done "," asked get know professor slughorn ve done ","ask get know professor slughorn ve done","ask get know professor slughorn have do"
"Dumbledore","Harry","Now I want you to persuade him to divulge his true memory. Any way you can.","now i want you to persuade him to divulge his true memory. any way you can.","now i want you to persuade him to divulge his true memory. any way you can.","now  want   persuade   divulge  true memory.  way  can.","now  want   persuade   divulge  true memory  way  can","now  want   persuade   divulge  true memory  way  can","now want persuade divulge true memory way can","now want persuad divulg true memori wai can","now want persuade divulge true memory way can"
"Harry","Dumbledore","I don?t know him that well, sir --","i don?t know him that well, sir --","i don?t know him that well, sir --"," don?t know   well, sir --"," dont know   well sir "," dont know   well sir "," dont know well sir ","dont know well sir","do know good sir"
"Dumbledore","Harry","You?re the Chosen One, Harry. And Horace is, at heart, a decent man. Provide the proper circumstances and he will confess his sins.","you?re the chosen one, harry. and horace is, at heart, a decent man. provide the proper circumstances and he will confess his sins.","you?re the chosen one, harry. and horace is, at heart, a decent man. provide the proper circumstances and he will confess his sins.","?re  chosen one, harry.  horace ,  heart,  decent man. provide  proper circumstances   will confess  sins.","re  chosen one harry  horace   heart  decent man provide  proper circumstances   will confess  sins","re  chosen one harry  horace   heart  decent man provide  proper circumstances   will confess  sins","re chosen one harry horace heart decent man provide proper circumstances will confess sins","re chosen on harri horac heart decent man provid proper circumst will confess sin","re choose one harry horace heart decent man provide proper circumstance will confess sin"
"Dumbledore","Harry","This memory is everything, Harry. Without it, we are blind. Without it, we leave the fate of our world to chance. You have no choice. You must not fail.","this memory is everything, harry. without it, we are blind. without it, we leave the fate of our world to chance. you have no choice. you must not fail.","this memory is everything, harry. without it, we are blind. without it, we leave the fate of our world to chance. you have no choice. you must not fail."," memory  everything, harry. without ,   blind. without ,  leave  fate   world  chance.    choice.  must  fail."," memory  everything harry without    blind without   leave  fate   world  chance    choice  must  fail"," memory  everything harry without    blind without   leave  fate   world  chance    choice  must  fail"," memory everything harry without blind without leave fate world chance choice must fail","memori everyth harri without blind without leav fate world chanc choic must fail","memory everything harry without blind without leave fate world chance choice must fail"
"Slughorn","Alys","Now don?t forget to look over the chapter on antidotes. I?ll be poisoning one of you next time we meet. I?m joking! Off you go! Don?t forget your rattails, Miss Alys.","now don?t forget to look over the chapter on antidotes. i?ll be poisoning one of you next time we meet. i?m joking! off you go! don?t forget your rattails, miss alys.","now don?t forget to look over the chapter on antidotes. i?ll be poisoning one of you next time we meet. i?m joking! off you go! don?t forget your rattails, miss alys.","now don?t forget  look   chapter  antidotes. ?ll  poisoning one   next time  meet. ?m joking!   go! don?t forget  rattails, miss alys.","now dont forget  look   chapter  antidotes ll  poisoning one   next time  meet m joking   go dont forget  rattails miss alys","now dont forget  look   chapter  antidotes ll  poisoning one   next time  meet m joking   go dont forget  rattails miss alys","now dont forget look chapter antidotes ll poisoning one next time meet m joking go dont forget rattails miss alys","now dont forget look chapter antidot ll poison on next time meet m joke go dont forget rattail miss ali","now do forget look chapter antidote will poison one next time meet be joke go do forget rattails miss alys"
"Slughorn","Harry","Ah! If it isn?t the Prince of Potions himself! To what do I owe the pleasure?","ah! if it isn?t the prince of potions himself! to what do i owe the pleasure?","ah! if it isn?t the prince of potions himself! to what do i owe the pleasure?","ah!   isn?t  prince  potions !     owe  pleasure?","ah   isnt  prince  potions      owe  pleasure","ah   isnt  prince  potions      owe  pleasure","ah isnt prince potions owe pleasure","ah isnt princ potion ow pleasur","ah isnt prince potion owe pleasure"
"Harry","Slughorn","Well, sir, I wondered if I might ask you something.","well, sir, i wondered if i might ask you something.","well, sir, i wondered if i might ask you something.","well, sir,  wondered   might ask  something.","well sir  wondered   might ask  something","well sir  wondered   might ask  something","well sir wondered might ask something","well sir wonder might ask someth","good sir wonder may ask something"
"Slughorn","Harry","Ask away, my dear boy, ask away!","ask away, my dear boy, ask away!","ask away, my dear boy, ask away!","ask away,  dear boy, ask away!","ask away  dear boy ask away","ask away  dear boy ask away","ask away dear boy ask away","ask awai dear boi ask awai","ask away dear boy ask away"
"Harry","Slughorn","Well, you see, the other day I was in the Restricted Section -- in the library -- and I stumbled upon something rather odd while reading. Something about a bit of rare magic...","well, you see, the other day i was in the restricted section -- in the library -- and i stumbled upon something rather odd while reading. something about a bit of rare magic...","well, you see, the other day i was in the restricted section -- in the library -- and i stumbled upon something rather odd while reading. something about a bit of rare magic...","well,  see,   day     restricted section --   library --   stumbled upon something rather odd  reading. something   bit  rare magic...","well  see   day     restricted section    library    stumbled upon something rather odd  reading something   bit  rare magic","well  see   day     restricted section    library    stumbled upon something rather odd  reading something   bit  rare magic","well see day restricted section library stumbled upon something rather odd reading something bit rare magic","well see dai restrict section librari stumbl upon someth rather odd read someth bit rare magic","good see day restrict section library stumble upon something rather odd read something bite rare magic"
"Slughorn","Harry","Yes? And exactly what was this rare magic.","yes? and exactly what was this rare magic.","yes? and exactly what was this rare magic.","yes?  exactly    rare magic.","yes  exactly    rare magic","yes  exactly    rare magic","yes exactly rare magic","ye exactli rare magic","yes exactly rare magic"
"Harry","Slughorn","I?m not sure... That is, I don?t recall the name... exactly. But it got me wondering... Are there some kinds of magic you?re not allowed to teach?","i?m not sure... that is, i don?t recall the name... exactly. but it got me wondering... are there some kinds of magic you?re not allowed to teach?","i?m not sure... that is, i don?t recall the name... exactly. but it got me wondering... are there some kinds of magic you?re not allowed to teach?","?m  sure...  ,  don?t recall  name... exactly.   got  wondering...    kinds  magic ?re  allowed  teach?","m  sure    dont recall  name exactly   got  wondering    kinds  magic re  allowed  teach","m  sure    dont recall  name exactly   got  wondering    kinds  magic re  allowed  teach","m sure dont recall name exactly got wondering kinds magic re allowed teach","m sure dont recal name exactli got wonder kind magic re allow teach","be sure do recall name exactly get wonder kind magic re allow teach"
"Slughorn","Harry","I?m a Potions Professor, Harry. Perhaps your question would best be posed to Professor Snape.","i?m a potions professor, harry. perhaps your question would best be posed to professor snape.","i?m a potions professor, harry. perhaps your question would best be posed to professor snape.","?m  potions professor, harry. perhaps  question  best  posed  professor snape.","m  potions professor harry perhaps  question  best  posed  professor snape","m  potions professor harry perhaps  question  best  posed  professor snape","m potions professor harry perhaps question best posed professor snape","m potion professor harri perhap question best pose professor snape","be potion professor harry perhaps question good pose professor snape"
"Harry","Slughorn","Yes, well, we don?t exactly see eye-to-eye, sir. What I mean to say is, he?s not like you. He might... misunderstand.","yes, well, we don?t exactly see eye-to-eye, sir. what i mean to say is, he?s not like you. he might... misunderstand.","yes, well, we don?t exactly see eye-to-eye, sir. what i mean to say is, he?s not like you. he might... misunderstand.","yes, well,  don?t exactly see eye--eye, sir.   mean  say , ?s  like .  might... misunderstand.","yes well  dont exactly see eyeeye sir   mean  say  s  like   might misunderstand","yes well  dont exactly see eyeeye sir   mean  say  s  like   might misunderstand","yes well dont exactly see eyeeye sir mean say s like might misunderstand","ye well dont exactli see eyeey sir mean sai  like might misunderstand","yes good do exactly see eyeeye sir mean say s like may misunderstand"
"Slughorn","Harry","There can be no light without the dark. And so it is with magic. Myself, I have always strived to live within the light. I suggest you do the same.","there can be no light without the dark. and so it is with magic. myself, i have always strived to live within the light. i suggest you do the same.","there can be no light without the dark. and so it is with magic. myself, i have always strived to live within the light. i suggest you do the same."," can   light without  dark.      magic. ,   always strived  live within  light.  suggest    ."," can   light without  dark      magic    always strived  live within  light  suggest    "," can   light without  dark      magic    always strived  live within  light  suggest    "," can light without dark magic always strived live within light suggest ","can light without dark magic alwai strive live within light suggest","can light without dark magic always strive live within light suggest"
"Harry","Slughorn","Did you say the same to Tom Riddle, sir? When he came asking questions.","did you say the same to tom riddle, sir? when he came asking questions.","did you say the same to tom riddle, sir? when he came asking questions.","  say    tom riddle, sir?   came asking questions.","  say    tom riddle sir   came asking questions","  say    tom riddle sir   came asking questions"," say tom riddle sir came asking questions","sai tom riddl sir came ask question","say tom riddle sir come ask question"
"Slughorn","Harry","Dumbledore put you up to this. Didn?t he? Didn?t he!","dumbledore put you up to this. didn?t he? didn?t he!","dumbledore put you up to this. didn?t he? didn?t he!","dumbledore put    . didn?t ? didn?t !","dumbledore put     didnt  didnt ","dumbledore put     didnt  didnt ","dumbledore put didnt didnt ","dumbledor put didnt didnt","dumbledore put didnt didnt"
"Harry","Slughorn","Sir --","sir --","sir --","sir --","sir ","sir ","sir ","sir","sir"
"Hermione","Harry","Did you actually expect you could just walk up to Ol? Sluggy and ask him to reveal his deepest, darkest secret? Honestly, Harry, sometimes I think the Daily Prophet should call you the Dim One.","did you actually expect you could just walk up to ol? sluggy and ask him to reveal his deepest, darkest secret? honestly, harry, sometimes i think the daily prophet should call you the dim one.","did you actually expect you could just walk up to ol? sluggy and ask him to reveal his deepest, darkest secret? honestly, harry, sometimes i think the daily prophet should call you the dim one.","  actually expect   just walk   ol? sluggy  ask   reveal  deepest, darkest secret? honestly, harry, sometimes  think  daily prophet  call   dim one.","  actually expect   just walk   ol sluggy  ask   reveal  deepest darkest secret honestly harry sometimes  think  daily prophet  call   dim one","  actually expect   just walk   ol sluggy  ask   reveal  deepest darkest secret honestly harry sometimes  think  daily prophet  call   dim one"," actually expect just walk ol sluggy ask reveal deepest darkest secret honestly harry sometimes think daily prophet call dim one","actual expect just walk ol sluggi ask reveal deepest darkest secret honestli harri sometim think daili prophet call dim on","actually expect just walk ol sluggy ask reveal deep dark secret honestly harry sometimes think daily prophet call dim one"
"Harry","Hermione","Nice.","nice.","nice.","nice.","nice","nice","nice","nice","nice"
"Hermione","Harry","(rising to go) You?re going to have to persuade him somehow. And now, I?m afraid, you?ve made it a lot harder.","(rising to go) you?re going to have to persuade him somehow. and now, i?m afraid, you?ve made it a lot harder.","(rising to go) you?re going to have to persuade him somehow. and now, i?m afraid, you?ve made it a lot harder.","(rising  go) ?re going    persuade  somehow.  now, ?m afraid, ?ve made   lot harder.","rising  go re going    persuade  somehow  now m afraid ve made   lot harder","rising  go re going    persuade  somehow  now m afraid ve made   lot harder","rising go re going persuade somehow now m afraid ve made lot harder","rise go re go persuad somehow now m afraid ve made lot harder","rise go re go persuade somehow now be afraid have make lot hard"
"Harry","Hermione","Hermione. I think Malfoy?s leaving the castle.","hermione. i think malfoy?s leaving the castle.","hermione. i think malfoy?s leaving the castle.","hermione.  think malfoy?s leaving  castle.","hermione  think malfoys leaving  castle","hermione  think malfoys leaving  castle","hermione think malfoys leaving castle","hermion think malfoi leav castl","hermione think malfoys leave castle"
"Harry","Hermione","I?ve seen it. Sometimes... sometimes he just disappears off the Map.","i?ve seen it. sometimes... sometimes he just disappears off the map.","i?ve seen it. sometimes... sometimes he just disappears off the map.","?ve seen . sometimes... sometimes  just disappears   map.","ve seen  sometimes sometimes  just disappears   map","ve seen  sometimes sometimes  just disappears   map","ve seen sometimes sometimes just disappears map","ve seen sometim sometim just disappear map","have see sometimes sometimes just disappear map"
"Hermione","Harry","That?s... not possible. No one can leave the castle these days. The Map is wrong.","that?s... not possible. no one can leave the castle these days. the map is wrong.","that?s... not possible. no one can leave the castle these days. the map is wrong.","?s...  possible.  one can leave  castle  days.  map  wrong.","s  possible  one can leave  castle  days  map  wrong","s  possible  one can leave  castle  days  map  wrong","s possible one can leave castle days map wrong"," possibl on can leav castl dai map wrong","s possible one can leave castle day map wrong"
"Harry","Hermione","The Map is never wrong.","the map is never wrong.","the map is never wrong."," map  never wrong."," map  never wrong"," map  never wrong"," map never wrong","map never wrong","map never wrong"
"Ron","Harry","It?s beautiful, isn?t it? The moon.","it?s beautiful, isn?t it? the moon.","it?s beautiful, isn?t it? the moon.","?s beautiful, isn?t ?  moon.","s beautiful isnt   moon","s beautiful isnt   moon","s beautiful isnt moon"," beauti isnt moon","s beautiful isnt moon"
"Harry","Ron","Divine. Had ourselves a little late-night snack, did we?","divine. had ourselves a little late-night snack, did we?","divine. had ourselves a little late-night snack, did we?","divine.    little late-night snack,  ?","divine    little latenight snack  ","divine    little latenight snack  ","divine little latenight snack ","divin littl latenight snack","divine little latenight snack"
"Ron","Harry","It was on your bed. The box. Thought I?d try one...","it was on your bed. the box. thought i?d try one...","it was on your bed. the box. thought i?d try one...","    bed.  box. thought ?d try one...","    bed  box thought d try one","    bed  box thought d try one"," bed box thought d try one","bed box thought d try on","bed box think have try one"
"Harry","Ron","Or twenty.","or twenty.","or twenty."," twenty."," twenty"," twenty"," twenty","twenti","twenty"
"Ron","Harry","I can?t stop thinking about her, Harry.","i can?t stop thinking about her, harry.","i can?t stop thinking about her, harry."," can?t stop thinking  , harry."," cant stop thinking   harry"," cant stop thinking   harry"," cant stop thinking harry","cant stop think harri","cant stop think harry"
"Harry","Ron","Really? Honestly, I reckoned she was starting to annoy you.","really? honestly, i reckoned she was starting to annoy you.","really? honestly, i reckoned she was starting to annoy you.","really? honestly,  reckoned   starting  annoy .","really honestly  reckoned   starting  annoy ","really honestly  reckoned   starting  annoy ","really honestly reckoned starting annoy ","realli honestli reckon start annoi","really honestly reckon start annoy"
"Ron","Harry","She could never annoy me. I think... I think I love her.","she could never annoy me. i think... i think i love her.","she could never annoy me. i think... i think i love her.","  never annoy .  think...  think  love .","  never annoy   think  think  love ","  never annoy   think  think  love "," never annoy think think love ","never annoi think think love","never annoy think think love"
"Harry","Ron","Excuse me?","excuse me?","excuse me?","excuse ?","excuse ","excuse ","excuse ","excus","excuse"
"Harry","Ron","Well... Brilliant.","well... brilliant.","well... brilliant.","well... brilliant.","well brilliant","well brilliant","well brilliant","well brilliant","good brilliant"
"Ron","Harry","Do you think she knows I exist?","do you think she knows i exist?","do you think she knows i exist?","  think  knows  exist?","  think  knows  exist","  think  knows  exist"," think knows exist","think know exist","think know exist"
"Harry","Ron","Bloody well hope so. She?s been snogging you for three months.","bloody well hope so. she?s been snogging you for three months.","bloody well hope so. she?s been snogging you for three months.","bloody well hope . ?s  snogging   three months.","bloody well hope  s  snogging   three months","bloody well hope  s  snogging   three months","bloody well hope s snogging three months","bloodi well hope  snog three month","bloody good hope s snog three month"
"Ron","Harry","Snogging? Who?re you talking about?","snogging? who?re you talking about?","snogging? who?re you talking about?","snogging? ?re  talking ?","snogging re  talking ","snogging re  talking ","snogging re talking ","snog re talk","snog re talk"
"Harry","Ron","Who?re you talking about?","who?re you talking about?","who?re you talking about?","?re  talking ?","re  talking ","re  talking ","re talking ","re talk","re talk"
"Ron","Harry","Romilda, of course. Romilda Vane.","romilda, of course. romilda vane.","romilda, of course. romilda vane.","romilda,  course. romilda vane.","romilda  course romilda vane","romilda  course romilda vane","romilda course romilda vane","romilda cours romilda vane","romilda course romilda vane"
"Harry","Ron","Okay. Very funny.","okay. very funny.","okay. very funny.","okay.  funny.","okay  funny","okay  funny","okay funny","okai funni","okay funny"
"Harry","Ron","What the hell was that for?","what the hell was that for?","what the hell was that for?","  hell   ?","  hell   ","  hell   "," hell ","hell","hell"
"Ron","Harry","It?s no joke! I?m in love with her!","it?s no joke! i?m in love with her!","it?s no joke! i?m in love with her!","?s  joke! ?m  love  !","s  joke m  love  ","s  joke m  love  ","s joke m love "," joke m love","s joke be love"
"Harry","Ron","Okay! Fine! You?re in love with her! Have you ever actually met her!","okay! fine! you?re in love with her! have you ever actually met her!","okay! fine! you?re in love with her! have you ever actually met her!","okay! fine! ?re  love  !   ever actually met !","okay fine re  love     ever actually met ","okay fine re  love     ever actually met ","okay fine re love ever actually met ","okai fine re love ever actual met","okay fine re love ever actually meet"
"Ron","Harry","No. Can you introduce me?","no. can you introduce me?","no. can you introduce me?",". can  introduce ?"," can  introduce "," can  introduce "," can introduce ","can introduc","can introduce"
"Harry","Ron","Ron, these chocolates, they?re -- C?mon. I?m going to introduce you to Romilda Vane.","ron, these chocolates, they?re -- c?mon. i?m going to introduce you to romilda vane.","ron, these chocolates, they?re -- c?mon. i?m going to introduce you to romilda vane.","ron,  chocolates, ?re -- c?mon. ?m going  introduce   romilda vane.","ron  chocolates re  cmon m going  introduce   romilda vane","ron  chocolates re  cmon m going  introduce   romilda vane","ron chocolates re cmon m going introduce romilda vane","ron chocol re cmon m go introduc romilda vane","ron chocolate re cmon be go introduce romilda vane"
"Ron","Harry","How do I look?","how do i look?","how do i look?","   look?","   look","   look"," look","look","look"
"Harry","Ron","Devastatingly handsome.","devastatingly handsome.","devastatingly handsome.","devastatingly handsome.","devastatingly handsome","devastatingly handsome","devastatingly handsome","devastatingli handsom","devastatingly handsome"
"Slughorn","Harry","Yes???!!!! (warily) Oh. Potter. It?s you. I?m afraid I?m busy at the moment --","yes???!!!! (warily) oh. potter. it?s you. i?m afraid i?m busy at the moment --","yes???!!!! (warily) oh. potter. it?s you. i?m afraid i?m busy at the moment --","yes???!!!! (warily) oh. potter. ?s . ?m afraid ?m busy   moment --","yes warily oh potter s  m afraid m busy   moment ","yes warily oh potter s  m afraid m busy   moment ","yes warily oh potter s m afraid m busy moment ","ye warili oh potter  m afraid m busi moment","yes warily oh potter s be afraid be busy moment"
"Harry","Slughorn","Sir. I?m sorry. I wouldn?t bother you if it weren?t absolutely --","sir. i?m sorry. i wouldn?t bother you if it weren?t absolutely --","sir. i?m sorry. i wouldn?t bother you if it weren?t absolutely --","sir. ?m sorry.  wouldn?t bother    weren?t absolutely --","sir m sorry  wouldnt bother    werent absolutely ","sir m sorry  wouldnt bother    werent absolutely ","sir m sorry wouldnt bother werent absolutely ","sir m sorri wouldnt bother werent absolut","sir be sorry wouldnt bother werent absolutely"
"Ron","Harry","Where?s Romilda?","where?s romilda?","where?s romilda?","?s romilda?","s romilda","s romilda","s romilda"," romilda","s romilda"
"Slughorn","Harry","What?s the matter with Wenby?","what?s the matter with wenby?","what?s the matter with wenby?","?s  matter  wenby?","s  matter  wenby","s  matter  wenby","s matter wenby"," matter wenbi","s matter wenby"
"Harry","Slughorn","Ah. Very well. Bring him in.","ah. very well. bring him in.","ah. very well. bring him in.","ah.  well. bring  .","ah  well bring  ","ah  well bring  ","ah well bring ","ah well bring","ah good bring"
"Slughorn","Harry","I?d have thought you could whip up a remedy for this in no time, Harry -- an expert potioneer like you.","i?d have thought you could whip up a remedy for this in no time, harry -- an expert potioneer like you.","i?d have thought you could whip up a remedy for this in no time, harry -- an expert potioneer like you.","?d  thought   whip   remedy     time, harry --  expert potioneer like .","d  thought   whip   remedy     time harry   expert potioneer like ","d  thought   whip   remedy     time harry   expert potioneer like ","d thought whip remedy time harry expert potioneer like ","d thought whip remedi time harri expert potion like","have think whip remedy time harry expert potioneer like"
"Harry","Slughorn","I figured this called for a more practiced hand, sir.","i figured this called for a more practiced hand, sir.","i figured this called for a more practiced hand, sir."," figured  called    practiced hand, sir."," figured  called    practiced hand sir"," figured  called    practiced hand sir"," figured called practiced hand sir","figur call practic hand sir","figure call practice hand sir"
"Slughorn","Harry","Hm. Perhaps you?re right.","hm. perhaps you?re right.","hm. perhaps you?re right.","hm. perhaps ?re right.","hm perhaps re right","hm perhaps re right","hm perhaps re right","hm perhap re right","hm perhaps re right"
"Harry","Slughorn","I?m sorry, sir. About the other day. Our... misunderstanding.","i?m sorry, sir. about the other day. our... misunderstanding.","i?m sorry, sir. about the other day. our... misunderstanding.","?m sorry, sir.    day. ... misunderstanding.","m sorry sir    day  misunderstanding","m sorry sir    day  misunderstanding","m sorry sir day misunderstanding","m sorri sir dai misunderstand","be sorry sir day misunderstand"
"Slughorn","Harry","Yes, well, water under the bridge as they say, correct?","yes, well, water under the bridge as they say, correct?","yes, well, water under the bridge as they say, correct?","yes, well, water   bridge   say, correct?","yes well water   bridge   say correct","yes well water   bridge   say correct","yes well water bridge say correct","ye well water bridg sai correct","yes good water bridge say correct"
"Harry","Slughorn","I mean, I?m sure you?re tired of it, after all these years. The questions. About... Voldemort.","i mean, i?m sure you?re tired of it, after all these years. the questions. about... voldemort.","i mean, i?m sure you?re tired of it, after all these years. the questions. about... voldemort."," mean, ?m sure ?re tired  ,    years.  questions. ... voldemort."," mean m sure re tired      years  questions  voldemort"," mean m sure re tired      years  questions  voldemort"," mean m sure re tired years questions voldemort","mean m sure re tire year question voldemort","mean be sure re tire year question voldemort"
"Slughorn","Harry","I?ll ask you not to use that name.","i?ll ask you not to use that name.","i?ll ask you not to use that name.","?ll ask    use  name.","ll ask    use  name","ll ask    use  name","ll ask use name","ll ask us name","will ask use name"
"Harry","Slughorn","Yes, sir. It?s just, well, Dumbledore once said that fear of a name only increases fear of the thing itself. It seemed sensible.","yes, sir. it?s just, well, dumbledore once said that fear of a name only increases fear of the thing itself. it seemed sensible.","yes, sir. it?s just, well, dumbledore once said that fear of a name only increases fear of the thing itself. it seemed sensible.","yes, sir. ?s just, well, dumbledore  said  fear   name  increases fear   thing .  seemed sensible.","yes sir s just well dumbledore  said  fear   name  increases fear   thing   seemed sensible","yes sir s just well dumbledore  said  fear   name  increases fear   thing   seemed sensible","yes sir s just well dumbledore said fear name increases fear thing seemed sensible","ye sir  just well dumbledor said fear name increas fear thing seem sensibl","yes sir s just good dumbledore say fear name increase fear thing seem sensible"
